method,roi,FTC,UMI_density,Median_UMI,Median_genes,Doublet_rate,NED,Debris_rate,QC_yield,N_cells,Silhouette,Immune_survival
sr,roi1,0.9922,8.1569,430.0,322.0,0.0045,0.7505,0.0094,1269,1281,0.0851,0.8571
v12,roi1,0.853,8.1841,465.0,353.5,0.0061,0.7451,0.0039,1028,1032,0.1408,1.0
p3,roi1,0.78,8.0904,350.0,272.0,0.0027,0.7593,0.0107,1206,1219,0.1344,1.0
nuc,roi1,0.2085,6.8591,113.0,92.0,0.0,0.8404,0.128,729,836,0.0927,0.9062
sr,roi2,0.9708,10.1868,475.5,339.0,0.0026,0.7044,0.0278,1225,1260,0.0851,1.0
v12,roi2,0.8256,10.0454,500.0,366.0,0.0028,0.7012,0.0038,1050,1054,0.1408,1.0
p3,roi2,0.7784,10.0526,407.0,301.0,0.0014,0.7255,0.0145,1223,1241,0.1344,1.0
nuc,roi2,0.2388,9.4734,166.0,130.0,0.0003,0.8136,0.1024,736,820,0.0927,1.0
sr,roi3,0.9355,7.3042,399.0,226.0,0.0041,0.6531,0.0364,1058,1098,0.0851,1.0
v12,roi3,0.8143,6.8907,393.5,232.0,0.0022,0.6555,0.0288,979,1008,0.1408,0.6667
p3,roi3,0.7116,7.1272,313.0,188.0,0.0019,0.6717,0.0552,1096,1160,0.1344,0.75
nuc,roi3,0.2159,7.0502,138.0,85.0,0.001,0.764,0.2212,574,737,0.0927,0.5455
sr,roi4,0.9598,15.5243,796.0,665.0,0.0101,0.7409,0.0028,1064,1067,0.0851,1.0
v12,roi4,0.8124,15.6035,970.0,801.0,0.0116,0.725,0.0,795,795,0.1408,1.0
p3,roi4,0.7713,15.2006,723.0,611.0,0.0075,0.755,0.001,972,973,0.1344,1.0
nuc,roi4,0.2754,13.777,334.0,299.0,0.0012,0.8286,0.0247,632,648,0.0927,1.0
sr,roi5,0.9725,14.765,857.0,680.0,0.0058,0.6998,0.0058,1010,1043,0.0851,
v12,roi5,0.8044,14.7485,1010.5,795.5,0.006,0.6979,0.0013,776,792,0.1408,
p3,roi5,0.744,14.1272,715.0,582.0,0.0028,0.7364,0.004,966,993,0.1344,1.0
nuc,roi5,0.2763,12.223,381.0,334.0,0.0,0.8057,0.0198,588,607,0.0927,1.0
sr,roi6,0.9433,12.7539,732.0,627.0,0.0022,0.7517,0.0039,1013,1017,0.0851,
v12,roi6,0.898,12.741,602.5,522.5,0.0017,0.7811,0.0008,1203,1204,0.1408,
p3,roi6,0.8299,12.4688,500.0,438.0,0.0013,0.8058,0.0015,1371,1373,0.1344,
nuc,roi6,0.3867,11.0983,306.0,281.0,0.0003,0.8667,0.0061,977,983,0.0927,
sr,roi7,0.9584,17.9362,962.0,785.0,0.005,0.7042,0.003,1004,1008,0.0851,
v12,roi7,0.8025,17.6168,701.0,583.0,0.0038,0.7513,0.0034,1164,1173,0.1408,
p3,roi7,0.7708,16.925,524.5,455.0,0.0018,0.7885,0.0096,1534,1556,0.1344,
nuc,roi7,0.2352,15.2995,271.0,250.0,0.0012,0.8598,0.0452,797,841,0.0927,1.0
