method,roi,a1_capture,a1_umi_density,a2_median_umi,a3_median_genes,c1_coexpr,ned,b1_debris_rate,b2_qc_yield,n_cells_raw
v12,roi1,0.8529506265395738,8.184110376007801,465.0,353.5,0.006056201550387597,0.7450941801071167,0.003875968992248062,1028,1032
v12,roi2,0.8256093008372887,10.045392523538167,500.0,366.0,0.0028462998102466793,0.7011699080467224,0.003795066413662239,1050,1054
v12,roi3,0.8143131399317406,6.890693047964329,393.5,232.0,0.002232142857142857,0.6555074453353882,0.028769841269841268,979,1008
v12,roi4,0.8124211664364226,15.60353802870957,970.0,801.0,0.011635220125786163,0.724952220916748,0.0,795,795
v12,roi5,0.8043536253534653,14.748477921881754,1010.5,795.5,0.005997474747474748,0.6978805661201477,0.0012626262626262627,776,792
v12,roi6,0.8980473751600512,12.740954924921216,602.5,522.5,0.0016611295681063123,0.7811250686645508,0.0008305647840531562,1203,1204
v12,roi7,0.802484264468334,17.616798837041195,701.0,583.0,0.0038363171355498722,0.7513459324836731,0.0034100596760443308,1164,1173
v12,roi8,0.675329526655638,7.7451073719553545,556.5,459.5,0.00563063063063063,0.7626179456710815,0.003003003003003003,629,666
v12,roi9,0.7487600661298064,12.831577920239722,635.0,555.0,0.0043234994913530014,0.7944343090057373,0.0,979,983
v12,roi10,0.7073730260349979,6.603940264812039,385.0,246.0,0.005900621118012423,0.6863670945167542,0.006211180124223602,800,805
v12,roi11,0.572,9.616824292443663,535.0,328.0,0.005072463768115942,0.6681856513023376,0.007246376811594203,685,690
v12,roi12,0.5887341974715955,13.30041213248163,579.0,499.0,0.003680981595092025,0.7872193455696106,0.0036809815950920245,812,815
v12,roi13,0.7439603221161538,15.100156567659473,1199.0,955.0,0.0053435114503816794,0.710513710975647,0.0,655,655
v12,roi14,0.7218991731128301,11.40502148698407,779.5,652.5,0.007309941520467836,0.7525849342346191,0.0014619883040935672,683,684
v12,roi15,0.48794019739531624,11.067769151172104,547.0,376.0,0.0023584905660377358,0.6897416710853577,0.0047169811320754715,628,636
sr,roi1,0.9922351933169112,8.156906648809297,430.0,322.0,0.004488680718188915,0.7505242228507996,0.00936768149882904,1269,1281
sr,roi2,0.9707748920057597,10.186787652560879,475.5,339.0,0.0025793650793650793,0.704424262046814,0.027777777777777776,1225,1260
sr,roi3,0.9355268771331058,7.304199777767709,399.0,226.0,0.004098360655737705,0.6531336307525635,0.03642987249544627,1058,1098
sr,roi4,0.9597573427833503,15.524282116106406,796.0,665.0,0.010074976569821932,0.740917980670929,0.0028116213683223993,1064,1067
sr,roi5,0.9725230752814384,14.765001604446029,857.0,680.0,0.005752636625119847,0.6997977495193481,0.005752636625119847,1010,1043
sr,roi6,0.9433418693982074,12.75387830427291,732.0,627.0,0.0022123893805309734,0.751683235168457,0.003933136676499509,1013,1017
sr,roi7,0.9583913552052582,17.93619708925585,962.0,785.0,0.00496031746031746,0.7041918635368347,0.002976190476190476,1004,1008
sr,roi8,0.9820161161214579,7.860331718994728,491.0,415.0,0.00675,0.7624639272689819,0.017,933,1000
sr,roi9,0.9444829609087515,12.680700314002491,773.0,651.0,0.007407407407407408,0.7533683180809021,0.0021164021164021165,942,945
sr,roi10,0.8971404182671788,6.638512294631354,377.0,237.5,0.008948545861297539,0.6841809153556824,0.008948545861297539,886,894
sr,roi11,0.94992,9.947112533166653,669.5,418.5,0.009074941451990632,0.6614598631858826,0.0117096018735363,844,854
sr,roi12,0.7826318877687096,13.493700530443483,696.5,590.0,0.005,0.7547123432159424,0.00625,795,800
