method,roi,d1_silhouette,e1_immune_survival
v12,roi1,0.1407679319381714,1.0
v12,roi2,0.1407679319381714,1.0
v12,roi3,0.1407679319381714,0.6666666666666666
v12,roi4,0.1407679319381714,1.0
v12,roi5,0.1407679319381714,
v12,roi6,0.1407679319381714,
v12,roi7,0.1407679319381714,
v12,roi8,0.1407679319381714,0.5
v12,roi9,0.1407679319381714,
v12,roi10,0.1407679319381714,1.0
v12,roi11,0.1407679319381714,1.0
v12,roi12,0.1407679319381714,1.0
v12,roi13,0.1407679319381714,
v12,roi14,0.1407679319381714,1.0
v12,roi15,0.1407679319381714,
sr,roi1,0.08505024760961533,0.8571428571428571
sr,roi2,0.08505024760961533,1.0
sr,roi3,0.08505024760961533,1.0
sr,roi4,0.08505024760961533,1.0
sr,roi5,0.08505024760961533,
sr,roi6,0.08505024760961533,
sr,roi7,0.08505024760961533,
sr,roi8,0.08505024760961533,1.0
sr,roi9,0.08505024760961533,
sr,roi10,0.08505024760961533,1.0
sr,roi11,0.08505024760961533,1.0
sr,roi12,0.08505024760961533,
sr,roi13,0.08505024760961533,
sr,roi14,0.08505024760961533,1.0
sr,roi15,0.08505024760961533,
p3,roi1,0.1344490498304367,1.0
p3,roi2,0.1344490498304367,1.0
p3,roi3,0.1344490498304367,0.75
p3,roi4,0.1344490498304367,1.0
p3,roi5,0.1344490498304367,1.0
p3,roi6,0.1344490498304367,
p3,roi7,0.1344490498304367,
p3,roi8,0.1344490498304367,0.6666666666666666
p3,roi9,0.1344490498304367,
p3,roi10,0.1344490498304367,1.0
p3,roi11,0.1344490498304367,1.0
p3,roi12,0.1344490498304367,1.0
p3,roi13,0.1344490498304367,
p3,roi14,0.1344490498304367,1.0
p3,roi15,0.1344490498304367,1.0
nuc,roi1,0.09266389161348343,0.90625
nuc,roi2,0.09266389161348343,1.0
nuc,roi3,0.09266389161348343,0.5454545454545454
nuc,roi4,0.09266389161348343,1.0
nuc,roi5,0.09266389161348343,1.0
nuc,roi6,0.09266389161348343,
nuc,roi7,0.09266389161348343,1.0
nuc,roi8,0.09266389161348343,0.75
nuc,roi9,0.09266389161348343,1.0
nuc,roi10,0.09266389161348343,0.8333333333333334
nuc,roi11,0.09266389161348343,0.9090909090909091
nuc,roi12,0.09266389161348343,1.0
nuc,roi13,0.09266389161348343,0.8
nuc,roi14,0.09266389161348343,1.0
nuc,roi15,0.09266389161348343,0.3333333333333333
