trial,pq,sq,rq,f1,precision,recall,iou_mean,elapsed_s,dia_small_um,dia_large_um,flow_threshold,cellprob_threshold,fragment_threshold,clahe_clip_limit,dilation_px,model_type,min_circularity,hed_min_h_ratio
0,0.246028,0.337428,0.727877,0.727877,0.906647,0.609275,0.337428,279.7,9.927101057322835,35.768545786521415,0.4148243374428437,0.491390460266033,60,2.023604936702345,0,nuclei,0.0,0.0
1,0.381718,0.507476,0.751944,0.751944,0.93622,0.62961,0.507476,275.4,9.927101057322835,35.768545786521415,0.4148243374428437,0.491390460266033,60,2.023604936702345,14,nuclei,0.0,0.0
2,0.22405,0.382701,0.588005,0.588005,0.904008,0.443244,0.382701,283.7,9.376657788289425,44.074279480271244,0.5149185285901997,-1.331746994172256,124,1.7599841776276506,17,nuclei,0.0,0.0
3,0.292804,0.502307,0.582685,0.582685,0.89594,0.436723,0.502307,280.1,9.859252836423568,39.73099158153501,0.4223584520588469,-1.2286769872694527,72,2.896585555970819,7,nuclei,0.0,0.0
4,0.26291,0.387818,0.676649,0.676649,0.901104,0.544373,0.387818,367.0,7.83740136074502,39.82942126423229,0.41630372864314413,-0.43670773638971294,123,2.6442977633384777,25,nuclei,0.0,0.0
5,0.26668,0.411658,0.647696,0.647696,0.879282,0.519401,0.411658,284.9,8.870115869135702,36.11022498528837,0.5203289212356438,-0.6136798743942771,126,2.8010272288171127,17,nuclei,0.0,0.0
6,0.282574,0.4621,0.611252,0.611252,0.901025,0.467916,0.4621,306.4,9.051041267149172,33.19853327465581,0.5044395247147355,-0.8277312390961591,166,1.8277826075458128,11,nuclei,0.0,0.0
7,0.211996,0.374479,0.568471,0.568471,0.930646,0.413773,0.374479,286.0,8.879556765119524,38.24811601947551,0.4263406976070711,-1.413044400584725,144,1.666882459203258,17,nuclei,0.0,0.0
8,0.336362,0.485244,0.691748,0.691748,0.909269,0.559602,0.485244,374.5,7.233445816023815,43.413591760314446,0.4500558356761454,-0.12015262958469353,167,2.625577118243962,13,nuclei,0.0,0.0
9,0.39768,0.576699,0.689046,0.689046,0.924123,0.549938,0.576699,278.3,8.33999603081953,39.427726265462084,0.4610671594299791,-0.013590886369971855,167,2.4232358412902677,5,nuclei,0.0,0.0
10,0.259192,0.390181,0.664157,0.664157,0.901497,0.52691,0.390181,486.6,6.051499490442934,42.05900639295145,0.4777422533029636,-0.024049223494996982,197,2.3568048314074894,0,nuclei,0.0,0.0
11,0.442897,0.595532,0.74265,0.74265,0.919528,0.623719,0.595532,359.6,8.04499650962241,37.15990918482636,0.4820916191214556,0.4977201641589629,91,2.2362269703363196,6,nuclei,0.0,0.0
12,0.419523,0.578167,0.724528,0.724528,0.907022,0.605192,0.578167,360.7,8.039491401292908,38.58726789719947,0.47457824548229993,0.039120834026588336,90,2.344729965498175,6,nuclei,0.0,0.0
13,0.424789,0.57938,0.732273,0.732273,0.906364,0.616351,0.57938,368.6,7.465206434941072,37.52569004520398,0.49373995573941476,0.24944118181738087,87,2.1343844671532635,5,nuclei,0.0,0.0
14,0.409586,0.559196,0.731597,0.731597,0.916629,0.610067,0.559196,374.3,7.132828947833021,37.090912757043775,0.49448840490420953,0.25401298682306045,92,2.0962674525022504,9,nuclei,0.0,0.0
15,0.372176,0.515815,0.720904,0.720904,0.901876,0.602493,0.515815,397.5,7.188317159593951,33.53353326041082,0.530561106868693,0.22024452837845554,98,2.1810012011856204,3,nuclei,0.0,0.0
16,0.35763,0.5191,0.688356,0.688356,0.891621,0.565939,0.5191,500.7,6.541945214573421,34.518509549460475,0.4905309650258393,-0.2765264890269149,104,1.90338326112829,3,nuclei,0.0,0.0
17,0.413179,0.557563,0.740007,0.740007,0.903174,0.628675,0.557563,369.3,7.579722497978461,41.15909429406569,0.5384955277607897,0.27780073199427485,80,2.5237209894120065,9,nuclei,0.0,0.0
18,0.234901,0.372431,0.633596,0.633596,0.916108,0.489837,0.372431,284.0,8.35580404022763,37.35563476890677,0.445609466229253,-0.8695476819718302,50,1.5691815925531571,22,nuclei,0.0,0.0
19,0.384133,0.524405,0.730724,0.730724,0.906179,0.613742,0.524405,474.9,6.641316885305779,41.14192064524487,0.5465771340305504,0.28582158746402964,113,2.228647826620201,3,nuclei,0.0,0.0
20,0.370002,0.530517,0.697306,0.697306,0.909569,0.569528,0.530517,283.5,8.33893575129388,37.19507629432874,0.47885917012145635,-0.27082151822608647,77,1.9176895274793309,9,nuclei,0.0,0.0
21,0.416951,0.576863,0.721696,0.721696,0.908695,0.60026,0.576863,362.8,7.96061288250759,38.35021311509961,0.47053523716197443,0.01758771576997692,88,2.299612148969677,6,nuclei,0.0,0.0
22,0.420177,0.579359,0.724101,0.724101,0.903973,0.60553,0.579359,370.9,7.5534193896608555,38.60158439518391,0.49560390796119896,0.14410363679991411,106,2.4752493220207374,5,nuclei,0.0,0.0
23,0.340914,0.467333,0.728411,0.728411,0.903887,0.611016,0.467333,369.5,7.454488617301152,36.52021975590763,0.49941855064210394,0.3704353937893724,107,2.5370206425234354,2,nuclei,0.0,0.0
24,0.397997,0.566749,0.70172,0.70172,0.914679,0.570535,0.566749,380.4,6.753722065231752,34.9149487136438,0.5127758650080955,0.13429494368535314,144,2.1744447947772887,8,nuclei,0.0,0.0
25,0.39609,0.539199,0.733319,0.733319,0.927958,0.606467,0.539199,369.3,7.6361055321323565,40.492306147801486,0.4849024835825967,0.409029167134043,114,2.4524017290969353,11,nuclei,0.0,0.0
26,0.388121,0.564116,0.687098,0.687098,0.881675,0.566592,0.564116,377.5,6.979379534101801,37.87840102298135,0.4628695521828824,-0.20809336219128372,136,2.7170182932018,5,nuclei,0.0,0.0
27,0.410597,0.561814,0.729505,0.729505,0.908329,0.61187,0.561814,282.8,8.551703600419653,39.091726426434356,0.4010152487195282,0.16127657413661167,69,2.054259953984252,4,nuclei,0.0,0.0
28,0.285538,0.446225,0.639522,0.639522,0.85318,0.520542,0.446225,480.6,6.203899268971828,34.91499411328561,0.505503922356682,-0.63456292721853,83,2.289259130947213,1,nuclei,0.0,0.0
29,0.253662,0.348117,0.727458,0.727458,0.89152,0.61554,0.348117,360.3,7.819174688263871,36.5124453844098,0.44391646896107706,0.4681810413270944,62,2.148775281258592,0,nuclei,0.0,0.0
30,0.367684,0.538939,0.681629,0.681629,0.875897,0.563687,0.538939,373.5,7.405920510332844,37.704519646588636,0.5276858187826163,-0.3911908997407677,96,2.9803714065803883,7,nuclei,0.0,0.0
31,0.415681,0.574533,0.722211,0.722211,0.901831,0.60516,0.574533,282.7,8.172207775997077,38.81052935814404,0.4870063161379451,0.0439288057575761,101,2.4090464377560403,5,nuclei,0.0,0.0
32,0.40166,0.540952,0.741684,0.741684,0.931834,0.61676,0.540952,360.9,7.997206930340552,38.59507045086081,0.4666700798368385,0.37223076330791416,88,1.9505711494525149,11,nuclei,0.0,0.0
33,0.417848,0.578689,0.72117,0.72117,0.913264,0.597378,0.578689,369.7,7.679387538335959,35.335451852646976,0.4560061212432595,0.14500329235864057,111,2.3161283382122493,7,nuclei,0.0,0.0
