Method,ROI,FTC,UMI_density,Median_UMI,Median_genes,NED,Doublet_rate,N_cells
Space Ranger,ROI 1,0.9922,8.1569,430.0,322.0,0.7505,0.0045,1281
MCseg v2,ROI 1,0.853,8.1841,465.0,353.5,0.7451,0.0061,1032
MCseg v1,ROI 1,0.78,8.0904,350.0,272.0,0.7593,0.0027,1219
NUC,ROI 1,0.2085,6.8591,113.0,92.0,0.8404,0.0,836
Space Ranger,ROI 2,0.9708,10.1868,475.5,339.0,0.7044,0.0026,1260
MCseg v2,ROI 2,0.8256,10.0454,500.0,366.0,0.7012,0.0028,1054
MCseg v1,ROI 2,0.7784,10.0526,407.0,301.0,0.7255,0.0014,1241
NUC,ROI 2,0.2388,9.4734,166.0,130.0,0.8136,0.0003,820
Space Ranger,ROI 3,0.9355,7.3042,399.0,226.0,0.6531,0.0041,1098
MCseg v2,ROI 3,0.8143,6.8907,393.5,232.0,0.6555,0.0022,1008
MCseg v1,ROI 3,0.7116,7.1272,313.0,188.0,0.6717,0.0019,1160
NUC,ROI 3,0.2159,7.0502,138.0,85.0,0.764,0.001,737
Space Ranger,ROI 4,0.9598,15.5243,796.0,665.0,0.7409,0.0101,1067
MCseg v2,ROI 4,0.8124,15.6035,970.0,801.0,0.725,0.0116,795
MCseg v1,ROI 4,0.7713,15.2006,723.0,611.0,0.755,0.0075,973
NUC,ROI 4,0.2754,13.777,334.0,299.0,0.8286,0.0012,648
Space Ranger,ROI 5,0.9725,14.765,857.0,680.0,0.6998,0.0058,1043
MCseg v2,ROI 5,0.8044,14.7485,1010.5,795.5,0.6979,0.006,792
MCseg v1,ROI 5,0.744,14.1272,715.0,582.0,0.7364,0.0028,993
NUC,ROI 5,0.2763,12.223,381.0,334.0,0.8057,0.0,607
Space Ranger,ROI 6,0.9433,12.7539,732.0,627.0,0.7517,0.0022,1017
MCseg v2,ROI 6,0.898,12.741,602.5,522.5,0.7811,0.0017,1204
MCseg v1,ROI 6,0.8299,12.4688,500.0,438.0,0.8058,0.0013,1373
NUC,ROI 6,0.3867,11.0983,306.0,281.0,0.8667,0.0003,983
Space Ranger,ROI 7,0.9584,17.9362,962.0,785.0,0.7042,0.005,1008
MCseg v2,ROI 7,0.8025,17.6168,701.0,583.0,0.7513,0.0038,1173
MCseg v1,ROI 7,0.7708,16.925,524.5,455.0,0.7885,0.0018,1556
NUC,ROI 7,0.2352,15.2995,271.0,250.0,0.8598,0.0012,841
Space Ranger,ROI 8,0.982,7.8603,491.0,415.0,0.7625,0.0068,1000
MCseg v2,ROI 8,0.6753,7.7451,556.5,459.5,0.7626,0.0056,666
MCseg v1,ROI 8,0.7314,7.4759,430.0,364.0,0.7872,0.0039,893
NUC,ROI 8,0.2381,6.6963,198.5,182.5,0.8535,0.0004,560
Space Ranger,ROI 9,0.9445,12.6807,773.0,651.0,0.7534,0.0074,945
MCseg v2,ROI 9,0.7488,12.8316,635.0,555.0,0.7944,0.0043,983
MCseg v1,ROI 9,0.7552,12.5288,489.0,435.5,0.8157,0.0022,1228
NUC,ROI 9,0.2949,12.2749,328.0,297.5,0.8631,0.0003,770
Space Ranger,ROI 10,0.8971,6.6385,377.0,237.5,0.6842,0.0089,894
MCseg v2,ROI 10,0.7074,6.6039,385.0,246.0,0.6864,0.0059,805
MCseg v1,ROI 10,0.6762,6.7309,319.0,207.0,0.7021,0.0038,930
NUC,ROI 10,0.2326,6.5944,133.0,91.0,0.7803,0.0004,625
Space Ranger,ROI 11,0.9499,9.9471,669.5,418.5,0.6615,0.0091,854
MCseg v2,ROI 11,0.572,9.6168,535.0,328.0,0.6682,0.0051,690
MCseg v1,ROI 11,0.7225,9.9815,449.0,311.5,0.7069,0.0038,1054
NUC,ROI 11,0.1849,8.6067,168.5,118.0,0.7816,0.0009,586
Space Ranger,ROI 12,0.7826,13.4937,696.5,590.0,0.7547,0.005,800
MCseg v2,ROI 12,0.5887,13.3004,579.0,499.0,0.7872,0.0037,815
MCseg v1,ROI 12,0.5863,13.0784,503.5,445.0,0.802,0.0016,926
NUC,ROI 12,0.252,11.8215,314.0,284.5,0.8554,0.0008,650
Space Ranger,ROI 13,0.971,15.3882,1191.0,954.0,0.6945,0.0071,773
MCseg v2,ROI 13,0.744,15.1002,1199.0,955.0,0.7105,0.0053,655
MCseg v1,ROI 13,0.7699,14.524,911.0,759.0,0.7436,0.0029,849
NUC,ROI 13,0.2973,13.3133,540.0,479.0,0.7888,0.001,521
Space Ranger,ROI 14,0.9389,11.1412,835.0,694.0,0.7364,0.0074,776
MCseg v2,ROI 14,0.7219,11.405,779.5,652.5,0.7526,0.0073,684
MCseg v1,ROI 14,0.7239,11.2234,579.0,499.0,0.7801,0.0046,867
NUC,ROI 14,0.265,9.7452,316.0,284.0,0.8375,0.0018,567
Space Ranger,ROI 15,0.8067,11.3481,1339.5,821.0,0.6214,0.0142,440
MCseg v2,ROI 15,0.4879,11.0678,547.0,376.0,0.6897,0.0024,636
MCseg v1,ROI 15,0.4869,11.6273,381.0,280.0,0.7293,0.0023,885
NUC,ROI 15,0.085,10.6431,145.0,114.0,0.8127,0.0,327
